Test,Linmeth,Timestep,Stress_Period,Inner,Outer,Elapsed_sec,backflag,backreduce,backtol,dbdgamma,dbdkappa,dbdtheta,epsrn,fluxtol,hclosexmd,headtol,iacl,ibotav,idroptol,ilumethod,iprnwt,iredsys,level,levfill,linmeth,maxbackiter,maxiterout,maxitinner,momfact,msdr,mxiterxmd,norder,north,options,rrctols,stoptol,thickfact,Elapsed_min
28,2,1,1,1516,73,964.913,1,0.9,2.0,9.35153e-05,-9.37774e-06,0.874927,0.000616453,100000.0,0.000830977,0.4,2,0,1,2,1,1,8,1,2,50,500,50,0.130103,5,637.0,0,-3.0,SPECIFIED,-9.82121e-06,1e-10,0.000409874,16.081883333333334
44,2,1,1,1784,70,1001.725,1,0.9,2.0,5.06707e-05,4.3728e-05,0.882035,7.36157e-05,100000.0,0.000603029,0.4,1,1,1,2,1,1,3,1,2,50,500,50,0.0724326,5,515.0,0,7.0,SPECIFIED,9.49414e-07,1e-10,0.000353145,16.695416666666667
6,2,1,1,3549,80,1415.881,1,0.9,2.0,4.66064e-05,-1.6145e-05,0.73816,0.00106753,100000.0,0.000597142,0.4,0,1,1,2,1,1,5,1,2,50,500,50,0.101332,5,80.0,0,10.0,SPECIFIED,8.46953e-05,1e-10,3.0923e-05,23.59801666666667
37,2,1,1,4200,79,1512.3429999999998,1,0.9,2.0,5.4029e-05,-2.05283e-05,0.892615,0.000217473,100000.0,0.0014265,0.4,1,1,1,2,1,0,3,1,2,50,500,50,0.0937652,5,958.0,0,6.0,SPECIFIED,1.07553e-05,1e-10,0.000105578,25.205716666666664
24,2,1,1,405,69,1587.65,1,0.9,2.0,5.95434e-05,2.20228e-05,0.697407,0.000606307,100000.0,0.00107312,0.4,2,0,0,2,1,0,4,1,2,50,500,50,0.0232795,5,615.0,0,4.0,SPECIFIED,4.98453e-05,1e-10,0.000353094,26.460833333333333
41,2,1,1,2201,97,1625.227,0,0.9,2.0,-1.45391e-05,8.96851e-05,0.93746,0.000155813,100000.0,0.000957381,0.4,1,1,0,2,1,1,3,1,2,50,500,50,0.0203177,5,621.0,0,1.0,SPECIFIED,1.03658e-05,1e-10,0.000146507,27.087116666666667
8,2,1,1,2629,95,1627.908,0,0.9,2.0,4.34239e-05,8.20981e-05,0.506276,0.00504203,100000.0,0.00105288,0.4,1,1,0,2,1,0,2,1,2,50,500,50,0.0710871,5,179.0,0,10.0,SPECIFIED,5.97953e-06,1e-10,0.000406919,27.1318
2,2,1,1,689,61,1760.8770000000002,0,0.9,2.0,1.25954e-05,-1.64552e-05,0.789477,0.00308389,100000.0,0.000376604,0.4,2,0,0,2,1,0,3,1,2,50,500,50,0.0594518,5,878.0,0,-3.0,SPECIFIED,1.18107e-05,1e-10,0.000367978,29.347950000000004
13,2,1,1,4575,71,1793.4270000000001,0,0.9,2.0,-3.15802e-05,-8.36336e-06,0.641031,0.00511153,100000.0,1.98149e-05,0.4,1,1,1,2,1,0,8,1,2,50,500,50,0.0859325,5,204.0,0,5.0,SPECIFIED,2.45199e-05,1e-10,0.000254919,29.89045
26,2,1,1,955,70,1809.277,0,0.9,2.0,-1.01979e-05,3.44854e-05,0.611365,0.00181955,100000.0,3.6367e-05,0.4,1,1,0,2,1,0,4,1,2,50,500,50,0.108898,5,380.0,0,9.0,SPECIFIED,2.68711e-05,1e-10,0.000280261,30.154616666666666
27,2,1,1,4333,78,2126.631,0,0.9,2.0,9.26148e-07,-1.24304e-05,0.62628,0.000458819,100000.0,1.51664e-05,0.4,1,0,1,2,1,0,6,1,2,50,500,50,0.127201,5,745.0,0,7.0,SPECIFIED,2.21195e-05,1e-10,6.709e-05,35.44385
29,2,1,1,12127,212,2522.613,1,0.9,2.0,3.22245e-05,-6.25456e-06,0.553587,7.66397e-05,100000.0,2.44585e-05,0.4,1,1,1,2,1,1,1,1,2,50,500,50,0.0178335,5,104.0,0,10.0,SPECIFIED,-5.00928e-06,1e-10,0.000194101,42.043549999999996
19,2,1,1,6029,82,2961.296,1,0.9,2.0,7.30903e-05,3.04348e-05,0.931257,0.00166602,100000.0,4.62127e-05,0.4,1,0,1,2,1,0,3,1,2,50,500,50,0.0718816,5,794.0,0,3.0,SPECIFIED,2.10952e-05,1e-10,0.000279933,49.35493333333333
3,2,1,1,9000,120,3383.1690000000003,1,0.9,2.0,-3.9173e-05,5.92516e-05,0.455283,0.00137913,100000.0,2.64608e-05,0.4,0,1,1,2,1,1,9,1,2,50,500,50,0.108982,5,75.0,0,6.0,SPECIFIED,-4.40186e-05,1e-10,0.000116096,56.38615000000001
38,2,1,1,781,213,3840.0,0,0.9,2.0,9.76839e-05,4.24415e-05,0.594361,0.000373124,100000.0,3.03182e-05,0.4,1,1,0,2,1,0,5,1,2,50,500,50,0.037998,5,455.0,0,4.0,SPECIFIED,6.85347e-05,1e-10,0.00025367,64.0
1,2,1,1,15046,78,3900.0,1,0.9,2.0,-4.87623e-05,9.4039e-06,0.704561,0.000718292,100000.0,0.00122002,0.4,0,1,0,2,1,1,1,1,2,50,500,50,0.0556848,5,356.0,0,-2.0,SPECIFIED,-3.90013e-05,1e-10,0.000119984,65.0
7,2,1,1,1060,62,4500.0,1,0.9,2.0,2.34731e-05,4.04667e-05,0.832989,0.000143397,100000.0,0.000506574,0.4,2,1,1,2,1,0,8,1,2,50,500,50,0.0389335,5,365.0,0,6.0,SPECIFIED,9.4404e-05,1e-10,0.000242589,75.0
49,2,1,1,38052,107,5340.0,0,0.9,2.0,-4.2786e-05,1.16052e-05,0.853044,0.000137153,100000.0,0.000228459,0.4,0,0,1,2,1,1,1,1,2,50,500,50,0.112817,5,927.0,0,9.0,SPECIFIED,4.83188e-06,1e-10,0.000355292,89.0
42,2,1,1,1799,71,5880.0,1,0.9,2.0,-1.38981e-05,3.07333e-06,0.710875,0.000244018,100000.0,0.000973398,0.4,0,1,0,2,1,1,5,1,2,50,500,50,0.0691375,5,560.0,0,5.0,SPECIFIED,7.68475e-05,1e-10,0.000421482,98.0
